knr2017,AAR,ART,prod,nytidutmg,utmar,totareal,VEKTMA,VEKTFE,VEKTCH,KVEKTCH,ANDAD,ANDCH,ADPROD,CHPROD,METAD,METOFF,KMETOFF,METADANT,METOFFANT,METBEITAD,METBEITOFF,TOTBEITE,TOTBEITEDAG,LNTOTBEITE,TOTBAR
101.00,1949,geit,0.00,12.00,535.04,596.72,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
104.00,1949,geit,2.90,18.00,50.12,57.78,,50,25,18.75,0.65,0.35,1.885,1.015,18.80301547,11.18033989,9.010542803,35.44368415,9.145700945,637.9863147,164.622617,802.6089318,2.19892858,,16.01374565
105.00,1949,geit,2.90,18.00,288.05,370.26,,50,25,18.75,0.65,0.35,1.885,1.015,18.80301547,11.18033989,9.010542803,35.44368415,9.145700945,637.9863147,164.622617,802.6089318,2.19892858,,2.786352827
106.00,1949,geit,2.90,18.00,210.44,281.97,,50,25,18.75,0.65,0.35,1.885,1.015,18.80301547,11.18033989,9.010542803,35.44368415,9.145700945,637.9863147,164.622617,802.6089318,2.19892858,,3.813956148
111.00,1949,geit,0.00,18.00,83.92,87.74,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
118.00,1949,geit,0.00,0.00,264.42,284.92,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
119.00,1949,geit,4.80,0.00,326.62,367.65,,50,25,18.75,0.65,0.35,3.12,1.68,18.80301547,11.18033989,9.010542803,58.66540825,15.13771191,0,0,0,0,,0
121.00,1949,geit,0.00,0.00,156.30,159.40,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
122.00,1949,geit,0.00,18.00,121.27,187.70,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
123.00,1949,geit,0.00,18.00,96.12,134.01,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
124.00,1949,geit,1.00,18.00,39.16,66.21,,50,25,18.75,0.65,0.35,0.65,0.35,18.80301547,11.18033989,9.010542803,12.22196005,3.153689981,219.9952809,56.76641966,276.7617006,0.758251235,,7.067459157
125.00,1949,geit,0.00,18.00,151.91,229.55,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
127.00,1949,geit,2.90,18.00,56.69,93.07,,50,25,18.75,0.65,0.35,1.885,1.015,18.80301547,11.18033989,9.010542803,35.44368415,9.145700945,637.9863147,164.622617,802.6089318,2.19892858,,14.15785732
128.00,1949,geit,0.00,18.00,306.31,419.78,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
135.00,1949,geit,0.00,18.00,69.64,104.69,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
136.00,1949,geit,0.00,18.00,42.12,69.17,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
137.00,1949,geit,10.50,18.00,203.09,238.79,,50,25,18.75,0.65,0.35,6.825,3.675,18.80301547,11.18033989,9.010542803,128.3305806,33.1137448,2309.95045,596.0474064,2905.997856,7.961637963,,14.30891652
138.00,1949,geit,0.00,18.00,109.54,139.54,,50,25,18.75,0.65,0.35,0,0,18.80301547,11.18033989,9.010542803,0,0,0,0,0,0,,0
